Start Date,End Date,"To what extent do you agree with the following statement? If a person has difficulty with speech, it means they also have intellectual deficiencies",Is it common for a person who has had a stroke or brain injury to have difficulties with speech and communication?,Have you ever heard the term aphasia?,"In your own words, how does aphasia affect the afflicted person",Which of the following best describes aphasia?,"If you can recall, where do you think you first heard about aphasia?",,Have you ever been diagnosed with aphasia?,How long ago were you diagnosed with aphasia?,"Besides yourself, do you know someone who has been diagnosed with aphasia?",Do you know someone who has been diagnosed with aphasia?,Which of the following are causes of aphasia? (select all that apply),,,,,"In the past year, how many times have you seen or heard mention of aphasia in a newspaper or magazine (paper or online), on TV, or on the radio?",Where was the last place you recall reading or hearing about aphasia?,Region,Household Income,Device Type,Age,Gender
4/20/22 19:25,4/20/22 19:27,strongly disagree,No,Yes,Difficulty speaking..forming words and thoughts,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,Heart Disease,,3-Jan,A week ago,West North Central,Prefer not to answer,Android Phone / Tablet,45-60,Female
4/20/22 19:22,4/20/22 19:27,strongly disagree,Yes,Yes,Language ability ,A language disorder,From a family member or friend,,No,,,No,Stroke,,,,,3-Jan,Colleague,Pacific,"$25,000-$49,999",iOS Phone / Tablet,45-60,Female
4/20/22 19:25,4/20/22 19:25,strongly disagree,I don't know,No,,,,,,,,,,,,,,,,Middle Atlantic,"$125,000-$149,999",Android Phone / Tablet,> 60,Male
4/20/22 19:23,4/20/22 19:25,strongly disagree,Yes,Yes,Unable to speak.,I’m not sure,"In a newspaper, magazine or online publication",,No,,,No,,,Traumatic brain injury,,I'm not sure,3-Jan,Wes about Bruce Willis,South Atlantic,"$100,000-$124,999",iOS Phone / Tablet,45-60,Male
4/20/22 19:24,4/20/22 19:25,somewhat agree,I don't know,No,,,,,,,,,,,,,,,,East South Central,"$10,000-$24,999",iOS Phone / Tablet,18-29,Male
4/20/22 19:21,4/20/22 19:22,somewhat agree,Yes,Yes,a disorder that makes it difficult for someone to speak,A language disorder,From a family member or friend,,No,,,Yes,Stroke,Brain tumor,,,,3-Jan,Family,West South Central,"$75,000-$99,999",iOS Phone / Tablet,18-29,Male
4/20/22 19:20,4/20/22 19:22,strongly disagree,Yes,Yes,Depends where the damage occurs in the brain,A circulatory condition,Other (please specify),school,No,,,No,Stroke,,Traumatic brain injury,Heart Disease,,None,School,Mountain,"$100,000-$124,999",Windows Desktop / Laptop,45-60,Male
4/20/22 19:21,4/20/22 19:21,strongly disagree,Yes,No,,,,,,,,,,,,,,,,West North Central,"$10,000-$24,999",Windows Desktop / Laptop,> 60,Male
4/20/22 19:21,4/20/22 19:21,strongly disagree,I don't know,No,,,,,,,,,,,,,,,,West North Central,"$50,000-$74,999",Android Phone / Tablet,30-44,Male
4/20/22 19:20,4/20/22 19:21,neutral,Yes,Yes,,,,,,,,,,,,,,,,,,,,
4/20/22 19:17,4/20/22 19:21,somewhat disagree,Yes,Yes,Condition where someone has a diminished capacity to verbally express themselves.,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,I believe a story about Bruce Willis mentioned that he had aphasia.,Mountain,"$75,000-$99,999",Other,45-60,Female
4/20/22 19:15,4/20/22 19:17,strongly disagree,Yes,Yes,"I believe that a person with aphasia can understand speech, but cannot put a coherent sentence together.",A language disorder,I don't recall,,No,,,No,,,,,I'm not sure,6-Apr,Apparently some actor or celebrity has it.,Pacific,"$150,000-$174,999",Windows Desktop / Laptop,> 60,Male
4/20/22 19:17,4/20/22 19:17,strongly disagree,No,No,,,,,,,,,,,,,,,,South Atlantic,"$50,000-$74,999",Android Phone / Tablet,45-60,Male
4/20/22 19:14,4/20/22 19:16,somewhat disagree,Yes,Yes,Makes it incredibly difficult for them to speak/communicate.,A language disorder,Other (please specify),Father’s stroke,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,None,Fathers stroke years ago,Mountain,"$10,000-$24,999",iOS Phone / Tablet,45-60,Female
4/20/22 19:13,4/20/22 19:13,somewhat disagree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$50,000-$74,999",Android Phone / Tablet,30-44,Male
4/20/22 19:08,4/20/22 19:13,somewhat disagree,Yes,Yes,difficulty speaking and writing,None of the above,On TV or in a movie,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,TV show,Pacific,"$50,000-$74,999",Android Phone / Tablet,> 60,Male
4/20/22 19:12,4/20/22 19:12,neutral,I don't know,No,,,,,,,,,,,,,,,,South Atlantic,Prefer not to answer,iOS Phone / Tablet,18-29,Male
4/20/22 19:09,4/20/22 19:12,strongly disagree,Yes,Yes,"They have the words in their head, but the brain to mouth connection isn’t working. They can’t say what they are thinking.",A language disorder,Other (please specify),College,No,,,Yes,,,Traumatic brain injury,,,9-Jul,Facebook ,East North Central,Prefer not to answer,iOS Phone / Tablet,45-60,Female
4/20/22 19:11,4/20/22 19:11,neutral,Yes,No,,,,,,,,,,,,,,,,West South Central,"$125,000-$149,999",iOS Phone / Tablet,30-44,Male
4/20/22 19:05,4/20/22 19:09,strongly agree,Yes,Yes,Makes speech and reading difficult,None of the above,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Google news,East North Central,Prefer not to answer,Android Phone / Tablet,> 60,Male
4/20/22 19:06,4/20/22 19:09,somewhat disagree,Yes,Yes,"It is someone’s inability to speak or understand, usually after stroke. Brain damage from stroke.",A language disorder,I don't recall,,No,,,No,Stroke,,,,,3-Jan,"Not sure, I work in healthcare. It’s not uncommon to hear that",East North Central,"$100,000-$124,999",iOS Phone / Tablet,30-44,Female
4/20/22 19:06,4/20/22 19:09,neutral,Yes,Yes,Muscle weakness,A language disorder,From a family member or friend,,No,,,Yes,Stroke,,,,,3-Jan,Recently,West South Central,"$50,000-$74,999",iOS Phone / Tablet,45-60,Male
4/20/22 19:05,4/20/22 19:09,strongly disagree,Yes,Yes,"I person can have a thought that they are unable to translate into words, or when they speak their words sound like nonsense. Or they may only hear nonsense with others speak.  ",A language disorder,From a family member or friend,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,News stories about Bruce Willis. ,South Atlantic,"$10,000-$24,999",Windows Desktop / Laptop,30-44,Female
4/20/22 19:06,4/20/22 19:09,strongly disagree,Yes,Yes,An inability to form words because of a neural disorder,A language disorder,I don't recall,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Bruce Willis,East North Central,"$100,000-$124,999",iOS Phone / Tablet,45-60,Male
4/20/22 19:05,4/20/22 19:08,strongly disagree,Yes,Yes,Difficulty sorting words and expressing thoughts,A language disorder,I don't recall,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,6-Apr,Television,East South Central,"$200,000+",Windows Desktop / Laptop,> 60,Female
4/20/22 19:05,4/20/22 19:08,somewhat disagree,Yes,Yes,It affects the person's ability to associate items with there descriptive words,A language disorder,On TV or in a movie,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Star trek,West South Central,"$50,000-$74,999",Android Phone / Tablet,30-44,Male
4/20/22 19:05,4/20/22 19:08,strongly disagree,Yes,Yes,Unable to understand speech.,A language disorder,Other (please specify),School,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,None,Internet,West South Central,"$50,000-$74,999",Android Phone / Tablet,> 60,Female
4/20/22 19:05,4/20/22 19:08,somewhat disagree,Yes,Yes,verbal communication,A language disorder,I don't recall,,No,,,No,,,,,I'm not sure,None,none,West South Central,"$75,000-$99,999",Windows Desktop / Laptop,> 60,Male
4/20/22 19:01,4/20/22 19:08,neutral,Yes,Yes,"If it is expressive aphasia, it is difficult or impossible to communicate verbally causing frustration and isolation. With receptive aphasia, there is difficulty understanding what is said, which I would think would cause anxiety and confusion. Both would be very difficult since communication is so important to us as social beings.",A language disorder,Other (please specify),Nursing school.,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,None,In the hospital.,Middle Atlantic,"$25,000-$49,999",Windows Desktop / Laptop,> 60,Female
4/20/22 19:07,4/20/22 19:08,somewhat disagree,Yes,No,,,,,,,,,,,,,,,,Pacific,"$200,000+",Android Phone / Tablet,30-44,Female
4/20/22 19:06,4/20/22 19:08,somewhat disagree,Yes,Yes,They have difficulty recalling words ,A circulatory condition,From a family member or friend,,No,,,Yes,Stroke,,,,,3-Jan,People magazine,Pacific,Prefer not to answer,Windows Desktop / Laptop,> 60,Female
4/20/22 19:06,4/20/22 19:08,strongly disagree,Yes,Yes,they have trouble finding the right words,A language disorder,Other (please specify),social media,No,,,No,,,Traumatic brain injury,,,6-Apr,tik tok,South Atlantic,"$25,000-$49,999",Android Phone / Tablet,45-60,Female
4/20/22 19:06,4/20/22 19:08,strongly disagree,Yes,Yes,Auditory processing difficulties,A language disorder,From a doctor,,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Online article,East North Central,"$100,000-$124,999",iOS Phone / Tablet,30-44,Female
4/20/22 19:02,4/20/22 19:07,strongly disagree,Yes,Yes,"It’s a disease that impacts the ability to communicate normally making it hard to speak, Wright, and understand language.",I’m not sure,I don't recall,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,I think it was Christopher Reeves condition as a result from his injury,South Atlantic,"$75,000-$99,999",iOS Phone / Tablet,> 60,Female
4/20/22 19:04,4/20/22 19:07,somewhat disagree,Yes,Yes,Hard to communicate to others.,A language disorder,On TV or in a movie,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,Work,Pacific,"$50,000-$74,999",iOS Phone / Tablet,30-44,Male
4/20/22 19:02,4/20/22 19:07,strongly disagree,Yes,Yes,Can affect speaking or comprehension.,A language disorder,I don't recall,,No,,,I don't know,Stroke,Brain tumor,Traumatic brain injury,,,None,"Not sure, think it was in a book.",South Atlantic,"$50,000-$74,999",iOS Phone / Tablet,45-60,Female
4/20/22 19:03,4/20/22 19:07,somewhat disagree,Yes,Yes,Damage to the brain region responsible for speech formation.,A language disorder,Other (please specify),Neuropsychology course,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,10 or more,News stories about actor Bruce Willis being afflicted with aphasia.,East North Central,Prefer not to answer,iOS Phone / Tablet,45-60,Male
4/20/22 19:06,4/20/22 19:07,strongly disagree,Yes,No,,,,,,,,,,,,,,,,East North Central,"$50,000-$74,999",Android Phone / Tablet,45-60,Female
4/20/22 19:05,4/20/22 19:07,strongly agree,Yes,No,,,,,,,,,,,,,,,,Middle Atlantic,"$75,000-$99,999",iOS Phone / Tablet,30-44,Female
4/20/22 19:05,4/20/22 19:06,somewhat disagree,Yes,Yes,Slows down reaction time.,I’m not sure,"In a newspaper, magazine or online publication",,No,,,No,,,,,I'm not sure,3-Jan,Bruce Willis diagnosis,West North Central,"$75,000-$99,999",Android Phone / Tablet,30-44,Female
4/20/22 19:06,4/20/22 19:06,somewhat agree,Yes,No,,,,,,,,,,,,,,,,Mountain,"$125,000-$149,999",Android Phone / Tablet,30-44,Female
4/20/22 19:06,4/20/22 19:06,neutral,I don't know,No,,,,,,,,,,,,,,,,Pacific,"$0-$9,999",iOS Phone / Tablet,30-44,Female
4/20/22 19:06,4/20/22 19:06,strongly disagree,I don't know,No,,,,,,,,,,,,,,,,Pacific,Prefer not to answer,iOS Phone / Tablet,30-44,Female
4/20/22 19:04,4/20/22 19:06,strongly disagree,Yes,Yes,"You hard a hard time speaking. Usually happen after a injury, TBI and is a symptom with other ongoing medical issues",A language disorder,Other (please specify),I used to work in a group home.,No,,,No,Stroke,,Traumatic brain injury,,,3-Jan,Rice Willis was recently diagnosed,Middle Atlantic,"$125,000-$149,999",iOS Phone / Tablet,30-44,Female
4/20/22 19:05,4/20/22 19:05,strongly agree,I don't know,Yes,Heart,A heart condition,From a doctor,,Yes,2 - 3 years,Yes,,,,Traumatic brain injury,,,6-Apr,Kiwi wow,South Atlantic,"$0-$9,999",iOS Phone / Tablet,18-29,Male
4/20/22 19:04,4/20/22 19:05,somewhat disagree,I don't know,Yes,Speech,I’m not sure,On TV or in a movie,,No,,,No,Stroke,,,,,3-Jan,On TV,South Atlantic,"$125,000-$149,999",iOS Phone / Tablet,45-60,Female
4/20/22 19:05,4/20/22 19:05,strongly disagree,Yes,No,,,,,,,,,,,,,,,,East North Central,"$25,000-$49,999",iOS Phone / Tablet,> 60,Female
4/20/22 19:02,4/20/22 19:05,strongly disagree,Yes,Yes,difficulty finding right word,A spinal condition,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,online news,Pacific,"$25,000-$49,999",Windows Desktop / Laptop,> 60,Male
4/20/22 19:05,4/20/22 19:05,somewhat disagree,Yes,No,,,,,,,,,,,,,,,,West South Central,"$25,000-$49,999",iOS Phone / Tablet,30-44,Female
4/20/22 19:04,4/20/22 19:05,strongly disagree,I don't know,Yes,I am unsure,I’m not sure,"In a newspaper, magazine or online publication",,No,,,I don't know,,,,,I'm not sure,3-Jan,In a news article,South Atlantic,"$75,000-$99,999",iOS Phone / Tablet,30-44,Female
4/20/22 18:58,4/20/22 19:05,strongly disagree,Yes,Yes,Language,A language disorder,I don't recall,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,Don't remember....,East North Central,Prefer not to answer,Windows Desktop / Laptop,> 60,Female
4/20/22 19:01,4/20/22 19:05,strongly disagree,Yes,Yes,Inability to find the correct words to express thought or the inability to remember words. ,A language disorder,Other (please specify),Nursing school,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,6-Apr,My father's doctor in the ED.,East North Central,"$75,000-$99,999",Android Phone / Tablet,> 60,Female
4/20/22 19:01,4/20/22 19:05,strongly disagree,Yes,Yes,can not find the correct words,A language disorder,"In a newspaper, magazine or online publication",,No,,,Yes,,,,,I'm not sure,6-Apr,tv,Middle Atlantic,"$50,000-$74,999",Windows Desktop / Laptop,> 60,Female
4/20/22 19:03,4/20/22 19:05,strongly disagree,Yes,Yes,Difficult speaking,A language disorder,Other (please specify),Work,No,,,No,,,Traumatic brain injury,,,3-Jan,Work,Middle Atlantic,"$25,000-$49,999",iOS Phone / Tablet,45-60,Female
4/20/22 19:03,4/20/22 19:05,strongly disagree,Yes,Yes,They have a harder time understand and comprehending,None of the above,From a doctor,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,My employer,South Atlantic,"$10,000-$24,999",iOS Phone / Tablet,30-44,Female
4/20/22 19:03,4/20/22 19:05,neutral,Yes,Yes,Language,A language disorder,From a family member or friend,,No,,,No,,,,,I'm not sure,10 or more,Friend,Mountain,"$75,000-$99,999",iOS Phone / Tablet,30-44,Female
4/20/22 19:04,4/20/22 19:04,somewhat disagree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$25,000-$49,999",iOS Phone / Tablet,> 60,Female
4/20/22 19:00,4/20/22 19:04,strongly disagree,Yes,Yes,Speech or communicating to others,A language disorder,Other (please specify),Work,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,None,Work 20 plus years ago,West North Central,"$50,000-$74,999",iOS Phone / Tablet,> 60,Female
4/20/22 19:03,4/20/22 19:04,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Mountain,"$50,000-$74,999",Android Phone / Tablet,30-44,Female
4/20/22 19:00,4/20/22 19:03,strongly disagree,Yes,Yes,Difficulty in finding the right word or in understanding some of the words they read or hear.,A language disorder,Other (please specify),Nursing textbook,No,,,I don't know,Stroke,Brain tumor,Traumatic brain injury,,,6-Apr,The newspaper discussing Bruce Willis and his condition.,Pacific,Prefer not to answer,MacOS Desktop / Laptop,> 60,Female
4/20/22 19:02,4/20/22 19:03,neutral,Yes,Yes,I don’t know,I’m not sure,I don't recall,,No,,,I don't know,,,,,I'm not sure,None,Don’t remember,West South Central,Prefer not to answer,iOS Phone / Tablet,> 60,Female
4/20/22 19:02,4/20/22 19:03,neutral,Yes,No,,,,,,,,,,,,,,,,West South Central,"$10,000-$24,999",Android Phone / Tablet,> 60,Female
4/20/22 19:01,4/20/22 19:03,strongly disagree,Yes,Yes,difficulty saying what they want to say,A language disorder,Other (please specify),medical training,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,patient information for  a client,Mountain,"$75,000-$99,999",Windows Desktop / Laptop,> 60,Female
4/20/22 18:59,4/20/22 19:03,neutral,Yes,Yes,Difficulty  in speaking,A language disorder,Other (please specify),School,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,School,South Atlantic,"$200,000+",iOS Phone / Tablet,> 60,Female
4/20/22 18:59,4/20/22 19:02,somewhat disagree,Yes,Yes,I don’t know,A spinal condition,On TV or in a movie,,Yes,1 - 2 years,Yes,,,,Traumatic brain injury,,,6-Apr,I zabalaga m,West North Central,"$10,000-$24,999",iOS Phone / Tablet,18-29,Male
4/20/22 19:00,4/20/22 19:02,strongly disagree,Yes,Yes,slowly stops the ability to communicate.,A language disorder,I don't recall,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,on Facebook,West North Central,"$10,000-$24,999",Android Phone / Tablet,30-44,Female
4/20/22 18:54,4/20/22 19:02,strongly disagree,Yes,Yes,Possibly: difficulty finding intelligible words to say; difficulty understanding speech; both,A language disorder,Other (please specify),School/college ,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,Heart Disease,,None,Reading medical histories and participating in interdisciplinary care meetings while working as a physical therapist in a skilled nursing facility. ,East North Central,Prefer not to answer,Android Phone / Tablet,> 60,Female
4/20/22 19:01,4/20/22 19:02,somewhat disagree,Yes,Yes,difficulty reading and speaking,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,,,,,I'm not sure,3-Jan,somewhere online about Bruce Willis,East South Central,"$50,000-$74,999",Android Phone / Tablet,30-44,Male
4/20/22 19:00,4/20/22 19:02,strongly disagree,Yes,Yes,trouble speaking finding words,None of the above,Other (please specify),graduate school,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,None,textbook,Middle Atlantic,"$100,000-$124,999",iOS Phone / Tablet,> 60,Female
4/20/22 19:00,4/20/22 19:02,strongly disagree,Yes,Yes,what is happening to Bruce willis,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,,,Traumatic brain injury,,,6-Apr,Bruce Willis diagnosis on tv,New England,"$25,000-$49,999",MacOS Desktop / Laptop,> 60,Female
4/20/22 18:58,4/20/22 19:02,strongly disagree,Yes,Yes,Ability to talk is diminished,A language disorder,Other (please specify),During studying,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,During work,Pacific,Prefer not to answer,MacOS Desktop / Laptop,> 60,Female
4/20/22 19:00,4/20/22 19:02,strongly disagree,Yes,Yes,"I’ve heard of it, but can’t remember what it means. ",I’m not sure,"In a newspaper, magazine or online publication",,No,,,No,,,,,I'm not sure,3-Jan,Don’t remember ,East North Central,"$75,000-$99,999",MacOS Desktop / Laptop,> 60,Female
4/20/22 19:00,4/20/22 19:02,strongly disagree,I don't know,Yes,words dont come out,A language disorder,From a doctor,,No,,,Yes,,,,,I'm not sure,9-Jul,idk,Mountain,Prefer not to answer,Android Phone / Tablet,45-60,Female
4/20/22 18:57,4/20/22 19:01,strongly disagree,Yes,Yes,Aphasia is an inability to comprehend or formulate language because of damage to specific brain regions.,A circulatory condition,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,Heart Disease,,3-Jan,Washington Post article,South Atlantic,"$100,000-$124,999",iOS Phone / Tablet,> 60,Male
4/20/22 19:00,4/20/22 19:01,strongly disagree,Yes,Yes,Makes it difficult for the afflicted person to communicate.,A language disorder,"In a newspaper, magazine or online publication",,No,,,I don't know,,,,,I'm not sure,3-Jan,on line,West North Central,"$25,000-$49,999",MacOS Desktop / Laptop,> 60,Female
4/20/22 18:59,4/20/22 19:01,somewhat disagree,Yes,Yes,Have trouble communicating,A language disorder,I don't recall,,No,,,No,,Brain tumor,Traumatic brain injury,,,None,I don't remember any place recently,Mountain,"$175,000-$199,999",Windows Desktop / Laptop,> 60,Female
4/20/22 18:54,4/20/22 19:01,strongly disagree,Yes,Yes,"They have problems remembering words,, speech, ",A language disorder,From a doctor,,Yes,More than 3 years ago,No,,,Brain tumor,Traumatic brain injury,,,3-Jan,In a news article ,Middle Atlantic,"$75,000-$99,999",Android Phone / Tablet,> 60,Female
4/20/22 19:00,4/20/22 19:01,strongly disagree,Yes,Yes,Can’t communicate,A circulatory condition,On TV or in a movie,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Bruce Willis,East North Central,"$200,000+",iOS Phone / Tablet,45-60,Male
4/20/22 19:00,4/20/22 19:00,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Pacific,"$100,000-$124,999",iOS Phone / Tablet,30-44,Female
4/20/22 18:56,4/20/22 19:00,somewhat disagree,Yes,Yes,Inability to speak or to put correct words to ones thoughts,A language disorder,From a doctor,,Yes,More than 3 years ago,No,,Stroke,Brain tumor,Traumatic brain injury,,,10 or more,Bruce Willis,East South Central,"$25,000-$49,999",iOS Phone / Tablet,> 60,Female
4/20/22 18:57,4/20/22 19:00,strongly disagree,Yes,Yes,I think the person has trouble speaking what they want to say. ,A language disorder,I don't recall,,No,,,No,,,,,I'm not sure,3-Jan,Don't know. ,Middle Atlantic,"$125,000-$149,999",Android Phone / Tablet,> 60,Female
4/20/22 18:59,4/20/22 18:59,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Middle Atlantic,"$125,000-$149,999",Android Phone / Tablet,> 60,Female
4/20/22 18:56,4/20/22 18:59,strongly disagree,Yes,Yes,"Trouble with speaking, have difficulty remembering words and speaking them",A language disorder,From a family member or friend,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,Heart Disease,,3-Jan,Discussion with relative who is a doctor,Mountain,"$50,000-$74,999",MacOS Desktop / Laptop,> 60,Female
4/20/22 18:58,4/20/22 18:59,somewhat disagree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$25,000-$49,999",MacOS Desktop / Laptop,> 60,Female
4/20/22 18:57,4/20/22 18:59,strongly disagree,Yes,Yes,disconnect between thought and speech,A language disorder,From a family member or friend,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,Facebook,West South Central,"$100,000-$124,999",Android Phone / Tablet,30-44,Female
4/20/22 18:57,4/20/22 18:58,strongly disagree,I don't know,No,,,,,,,,,,,,,,,,South Atlantic,"$10,000-$24,999",iOS Phone / Tablet,> 60,Female
4/20/22 18:53,4/20/22 18:58,somewhat disagree,Yes,Yes,Understanding language and/or speaking,None of the above,"In a newspaper, magazine or online publication",,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,internet,Middle Atlantic,"$25,000-$49,999",Windows Desktop / Laptop,> 60,Female
4/20/22 18:54,4/20/22 18:58,somewhat disagree,Yes,Yes,person with aphasia cannot pronounce certain words properly.,A language disorder,From a doctor,,No,,,No,,Brain tumor,,,,9-Jul,at my job in the hospital.,Mountain,"$25,000-$49,999",Android Phone / Tablet,45-60,Male
4/20/22 18:57,4/20/22 18:58,somewhat agree,Yes,Yes,n/a,A circulatory condition,On TV or in a movie,,Yes,More than 3 years ago,Yes,,Stroke,Brain tumor,Traumatic brain injury,Heart Disease,,9-Jul,on tv,Pacific,"$50,000-$74,999",Android Phone / Tablet,45-60,Female
4/20/22 18:57,4/20/22 18:58,strongly disagree,Yes,No,,,,,,,,,,,,,,,,West South Central,"$100,000-$124,999",Android Phone / Tablet,18-29,Male
4/20/22 18:57,4/20/22 18:58,strongly disagree,Yes,No,,,,,,,,,,,,,,,,East North Central,"$25,000-$49,999",iOS Phone / Tablet,45-60,Male
4/20/22 18:56,4/20/22 18:57,strongly disagree,Yes,Yes,,,,,,,,,,,,,,,,,,,,
4/20/22 18:55,4/20/22 18:57,strongly disagree,Yes,Yes,Words are correct in their mind but have difficulty saying them,A circulatory condition,From a family member or friend,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,phone call from relative,Mountain,"$200,000+",MacOS Desktop / Laptop,> 60,Female
4/20/22 18:54,4/20/22 18:56,strongly disagree,No,Yes,With understanding or expressing yourself ,None of the above,Other (please specify),Nursing ,No,,,Yes,,,Traumatic brain injury,,,6-Apr,TV ,South Atlantic,"$25,000-$49,999",Android Phone / Tablet,> 60,Female
4/20/22 18:56,4/20/22 18:56,somewhat disagree,Yes,No,,,,,,,,,,,,,,,,Pacific,"$100,000-$124,999",Windows Desktop / Laptop,> 60,Female
4/20/22 18:51,4/20/22 18:55,strongly disagree,Yes,Yes,I believe it has to do with a person forgetting language and how to form words into complete sentences.,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,"If I'm remembering correctly, I just saw it in an issue of People a week or two ago, because it's the condition that Bruce Willis has been diagnosed with.",Middle Atlantic,"$100,000-$124,999",Android Phone / Tablet,30-44,Female
4/20/22 18:54,4/20/22 18:55,strongly disagree,Yes,Yes,"They have trouble completing sentences, finding the right words and hesitation while speaking",A language disorder,From a doctor,,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,10 or more,On line article about Bruce Willis,Pacific,"$75,000-$99,999",Windows Desktop / Laptop,> 60,Female
4/20/22 18:52,4/20/22 18:55,strongly disagree,Yes,Yes,trouble understanding language & written words; also trouble finding the correct word to express themselves.,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,On TV,Mountain,Prefer not to answer,Windows Desktop / Laptop,> 60,Female
4/20/22 18:55,4/20/22 18:55,strongly agree,Yes,No,,,,,,,,,,,,,,,,East North Central,"$175,000-$199,999",Android Phone / Tablet,30-44,Female
4/20/22 18:48,4/20/22 18:55,strongly disagree,Yes,Yes,"The afflicted person experiment difficulties to communicate, like a disconnection between the brain and the speech ability",A language disorder,"In a newspaper, magazine or online publication",,No,,,No,,,,,I'm not sure,6-Apr,"Somewhere On the internet, don’t remember exactly which page",South Atlantic,Prefer not to answer,iOS Phone / Tablet,30-44,Female
4/20/22 18:53,4/20/22 18:55,strongly disagree,Yes,Yes,Limits one's ability to speak.,A language disorder,I don't recall,,No,,,No,,,,,I'm not sure,3-Jan,A headline re Bruce Wiilis,Pacific,"$25,000-$49,999",Android Phone / Tablet,> 60,Female
4/20/22 18:54,4/20/22 18:55,strongly disagree,Yes,Yes,Hn,A language disorder,On TV or in a movie,,No,,,Yes,Stroke,,,,,6-Apr,Brb,Middle Atlantic,"$125,000-$149,999",iOS Phone / Tablet,45-60,Female
4/20/22 18:50,4/20/22 18:54,strongly disagree,Yes,Yes,"A difficulty communicating and understanding speech due to a brain injury, stroke or disease.",A language disorder,I don't recall,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Actor is retiring from acting due to aphasia,Middle Atlantic,"$200,000+",Windows Desktop / Laptop,> 60,Male
4/20/22 18:53,4/20/22 18:54,somewhat disagree,Yes,Yes,They can think the thoughts but can’t easily (if at all) express them verbally ,None of the above,From a family member or friend,,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Isn’t that was Bruce Willis has?,Middle Atlantic,Prefer not to answer,iOS Phone / Tablet,> 60,Female
4/20/22 18:52,4/20/22 18:54,strongly disagree,I don't know,Yes,Affects speech and memory,I’m not sure,"In a newspaper, magazine or online publication",,No,,,No,,,Traumatic brain injury,,,3-Jan,On tv,East North Central,"$10,000-$24,999",iOS Phone / Tablet,> 60,Female
